nombre git	has_frontmatter	title	lang	slug	fecha	estado	tipo	autor	author	tags	categories	aspectos	formato	draft	traduccion
insp-big-questions	1	"""Todo comienza con una Gran Pregunta"""	es	todo-comienza-con-una-gran-pregunta-inspiration-db	"""2025-10-11"""			- Voltaje		Aprendizajes	Aprendizajes	señal, electricidad, personas, espacio	Texto	false	true
insp-build-memory-solelab	1	"""¿Cómo construir memoria en un SOLE Lab?"""	es	metodologia-como-construir-memoria-en-ambientes-de-aprendizaje-auto-organizado-sole-lab-inspiration-db	"""2025-10-11"""			- Voltaje		Futuro, Memoria, Metodología	Futuro, Memoria, Metodología	señal, dispositivos, personas, espacio	Texto	false	false
insp-convince-sharing-internet	1	¿Crees que podrías convencer a tus vecinos de quitar su contraseña?	es	crees-que-podrias-convencer-a-tus-vecinos-de-quitar-su-contrasena-inspiration-db	'2025-10-11'						Pregunta Provocadora	personas			false
insp-data-for-dollar	1	¿Cuántos Gb al mes te da tu compañía telefónica por $1US?	es	cuantos-gb-al-mes-te-da-tu-compania-telefonica-por-1us-inspiration-db	'2025-10-11'						Pregunta Provocadora	personas			false
insp-data-usage	1	¿Cuántas GB de internet crees que consumes al mes?	es	cuantas-gb-de-internet-crees-que-consumes-al-mes-inspiration-db	'2025-10-11'						Pregunta Provocadora	señal, personas			false
insp-fish-game	1	"""Recursos para uno, recursos para todos"""	es	aprendimos-a-jugar-para-reflexionar-sobre-el-uso-de-bienes-comunes-inspiration-db	"""2025-10-11"""			- Sanjay		Internet, Metodología, Soluciones	Internet, Metodología, Soluciones	personas, señal	Video	false	false
insp-free-internet-for-all	1	¿Crees que el acceso a internet  debería ser libre y gratuito para  todos?	es	crees-que-el-acceso-a-internet-deberia-ser-libre-y-gratuito-para-todos-inspiration-db	'2025-10-11'						Pregunta Provocadora	señal, personas			false
insp-granny-cloud	1	"""¿Cómo cambiar el mundo desde tu casa? Conoce la Nube de Abuelitas"""	es	la-nube-de-abuelitas-como-cambiar-el-mundo-desde-tu-casa-inspiration-db	"""2024-10-25"""			- Bel		Metodología	Metodología	personas	Texto	false	true
insp-granny-no-connection	1	"""La Nube de Abuelitas: qué pasa cuando no hay conexión"""	es	la-nube-de-abuelitas-que-pasa-cuando-no-hay-conexion-inspiration-db	"""2024-10-25"""			- Bel		Aprendizajes	Aprendizajes	señal, personas	Texto	false	true
insp-granny-questions	1	"""Preguntas y respuestas sobre la experiencia de ser una Abuelita"""	es	preguntas-y-respuestas-sobre-la-experiencia-de-ser-una-abuelita-inspiration-db	"""2025-10-11"""			- Bel		Aprendizajes	Aprendizajes	personas	Texto	false	true
insp-hilando-vidas-OIM	1	"""SOLE + Hilando Vidas y Esperanza 2022"""	es	sole-hilando-vidas-y-esperanza-2022-inspiration-db	"""2025-10-11"""			- Voltaje		Futuro, Impacto, Internet	Futuro, Impacto, Internet	señal, electricidad, personas	Video	false	false
insp-how-internet-travels	1	"""¿Te has preguntado cómo llega el Internet, la luz o la señal móvil a ti?"""	es	te-has-preguntado-como-llega-el-internet-la-luz-o-la-senal-movil-a-ti-inspiration-db	"""2024-10-23"""			- Sanjay		Pregunta Provocadora	Pregunta Provocadora	señal, electricidad, personas	Texto	false	false
insp-how-internet-works	1	"""¿Cómo funciona el Internet?"""	es	como-funciona-el-internet-inspiration-db	"""2025-10-11"""			- Sanjay		Internet	Internet	señal, dispositivos, personas	Texto	false	true
insp-imagine-collective-futures	1	"""¿Cómo imaginar futuros en comunidad?"""	es	metodologia-como-imaginar-futuros-en-comunidad-inspiration-db	"""2025-10-11"""			- Voltaje		Futuro, Metodología	Futuro, Metodología	dispositivos, personas	Foto, Texto	false	false
insp-internet-ate-homework	1	¿El internet o tu perro han dañado tu tarea?	es	el-internet-o-tu-perro-han-danado-tu-tarea-inspiration-db	'2025-10-11'						Pregunta Provocadora	señal, personas			false
insp-internet-in-a-box	1	"""Nos conectamos a Internet con una caja"""	es	amplificamos-nuestro-internet-y-el-de-muchas-comunidades-a-traves-de-una-caja-inspiration-db	"""2025-10-11"""			- Manu		Internet, Soluciones	Internet, Soluciones	señal, electricidad, dispositivos, personas	Video	false	false
insp-internet-in-group	1	"""¿Cuándo fue la última vez que usaste el Internet en grupo?"""	es	cuando-fue-la-ultima-vez-que-usaste-el-internet-en-grupo-inspiration-db	"""2025-10-11"""			- Sanjay		Pregunta Provocadora	Pregunta Provocadora	señal, personas, espacio	Foto, Texto	false	true
insp-internet-signal-transmission	1	"""¿Cómo viaja un mensaje desde tu celular hasta el de tus amigos?"""	es	como-se-transmite-la-senal-de-internet-inspiration-db	"""2025-10-11"""			- Bel		Internet, Soluciones	Internet, Soluciones	señal, dispositivos	Texto	false	true
